Borough,Agency,count
BRONX,"3-1-1",5
BRONX,DCA,135
BRONX,DEP,737
BRONX,DFTA,2
BRONX,DHS,6
BRONX,DOB,660
BRONX,DOE,29
BRONX,DOF,108
BRONX,DOHMH,525
BRONX,DOT,2062
BRONX,DPR,323
BRONX,DSNY,866
BRONX,FDNY,11
BRONX,HPD,18334
BRONX,NYPD,1679
BRONX,TLC,43
BROOKLYN,"3-1-1",4
BROOKLYN,DCA,262
BROOKLYN,DEP,2191
BROOKLYN,DFTA,13
BROOKLYN,DHS,35
BROOKLYN,DOB,1296
BROOKLYN,DOE,23
BROOKLYN,DOF,164
BROOKLYN,DOHMH,832
BROOKLYN,DOITT,4
BROOKLYN,DOT,4266
BROOKLYN,DPR,906
BROOKLYN,DSNY,2580
BROOKLYN,EDC,4
BROOKLYN,FDNY,36
BROOKLYN,HPD,18435
BROOKLYN,NYPD,5371
BROOKLYN,TLC,193
MANHATTAN,"3-1-1",3
MANHATTAN,DCA,228
MANHATTAN,DEP,2824
MANHATTAN,DFTA,2
MANHATTAN,DHS,118
MANHATTAN,DOB,941
MANHATTAN,DOE,14
MANHATTAN,DOF,233
MANHATTAN,DOHMH,894
MANHATTAN,DOITT,9
MANHATTAN,DOT,3177
MANHATTAN,DPR,269
MANHATTAN,DSNY,1029
MANHATTAN,EDC,52
MANHATTAN,FDNY,318
MANHATTAN,HPD,11774
MANHATTAN,NYPD,3418
MANHATTAN,TLC,770
QUEENS,"3-1-1",1
QUEENS,DCA,238
QUEENS,DEP,2209
QUEENS,DFTA,5
QUEENS,DHS,20
QUEENS,DOB,1707
QUEENS,DOE,15
QUEENS,DOF,147
QUEENS,DOHMH,487
QUEENS,DOITT,5
QUEENS,DOT,4269
QUEENS,DPR,1849
QUEENS,DSNY,1975
QUEENS,FDNY,52
QUEENS,HPD,7426
QUEENS,NYPD,4558
QUEENS,TLC,189
"STATEN ISLAND",DCA,20
"STATEN ISLAND",DEP,667
"STATEN ISLAND",DHS,4
"STATEN ISLAND",DOB,195
"STATEN ISLAND",DOE,3
"STATEN ISLAND",DOF,11
"STATEN ISLAND",DOHMH,115
"STATEN ISLAND",DOITT,3
"STATEN ISLAND",DOT,793
"STATEN ISLAND",DPR,312
"STATEN ISLAND",DSNY,554
"STATEN ISLAND",EDC,1
"STATEN ISLAND",FDNY,6
"STATEN ISLAND",HPD,800
"STATEN ISLAND",NYPD,602
"STATEN ISLAND",TLC,4