Borough,date_mday,opencount,closeCase
BRONX,1,710,420
BRONX,2,600,645
BRONX,3,859,685
BRONX,4,450,335
BRONX,5,531,443
BRONX,6,566,580
BRONX,7,686,435
BRONX,8,453,509
BRONX,9,301,373
BRONX,10,568,598
BRONX,11,325,377
BRONX,12,417,466
BRONX,13,576,795
BRONX,14,728,638
BRONX,15,422,704
BRONX,16,247,758
BRONX,17,492,786
BRONX,18,790,1253
BRONX,19,1224,910
BRONX,20,990,424
BRONX,21,1227,229
BROOKLYN,1,694,690
BROOKLYN,2,891,838
BROOKLYN,3,1029,1139
BROOKLYN,4,607,818
BROOKLYN,5,677,925
BROOKLYN,6,757,911
BROOKLYN,7,882,773
BROOKLYN,8,688,705
BROOKLYN,9,349,689
BROOKLYN,10,742,1044
BROOKLYN,11,520,701
BROOKLYN,12,725,843
BROOKLYN,13,876,1017
BROOKLYN,14,1111,868
BROOKLYN,15,750,676
BROOKLYN,16,479,863
BROOKLYN,17,875,1247
BROOKLYN,18,1316,1448
BROOKLYN,19,1480,1115
BROOKLYN,20,1194,768
BROOKLYN,21,1406,489
MANHATTAN,1,611,441
MANHATTAN,2,458,558
MANHATTAN,3,743,711
MANHATTAN,4,475,689
MANHATTAN,5,525,608
MANHATTAN,6,500,600
MANHATTAN,7,584,594
MANHATTAN,8,576,552
MANHATTAN,9,367,412
MANHATTAN,10,579,591
MANHATTAN,11,508,555
MANHATTAN,12,626,593
MANHATTAN,13,729,783
MANHATTAN,14,762,653
MANHATTAN,15,492,752
MANHATTAN,16,296,640
MANHATTAN,17,592,748
MANHATTAN,18,720,1032
MANHATTAN,19,980,717
MANHATTAN,20,817,543
MANHATTAN,21,1006,355
QUEENS,1,428,531
QUEENS,2,515,763
QUEENS,3,500,994
QUEENS,4,314,767
QUEENS,5,407,871
QUEENS,6,431,763
QUEENS,7,479,741
QUEENS,8,354,559
QUEENS,9,186,475
QUEENS,10,375,846
QUEENS,11,330,610
QUEENS,12,363,828
QUEENS,13,472,939
QUEENS,14,485,776
QUEENS,15,465,561
QUEENS,16,305,463
QUEENS,17,503,903
QUEENS,18,740,809
QUEENS,19,793,783
QUEENS,20,785,665
QUEENS,21,767,508
STATEN ISLAND,1,52,69
STATEN ISLAND,2,52,92
STATEN ISLAND,3,80,147
STATEN ISLAND,4,71,115
STATEN ISLAND,5,78,142
STATEN ISLAND,6,74,97
STATEN ISLAND,7,105,124
STATEN ISLAND,8,33,82
STATEN ISLAND,9,28,83
STATEN ISLAND,10,137,144
STATEN ISLAND,11,54,81
STATEN ISLAND,12,88,101
STATEN ISLAND,13,90,92
STATEN ISLAND,14,132,103
STATEN ISLAND,15,35,82
STATEN ISLAND,16,40,110
STATEN ISLAND,17,119,117
STATEN ISLAND,18,126,184
STATEN ISLAND,19,116,178
STATEN ISLAND,20,119,91
STATEN ISLAND,21,172,55